Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_(USD),Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Loyalty_Score_A,Loyalty_Score_B,Satisfaction_Flag,Value_Tier,Retention_Rate_%,Dependency_Rate_%
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,1,1,14,Venmo,Fortnightly,795,0.0,0,Low Value,29.41,29.41
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,1,1,2,Cash,Fortnightly,192,0.0,0,Low Value,5.88,5.88
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,1,1,23,Credit Card,Weekly,1752,0.0,0,Low Value,47.06,47.06
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,1,1,49,PayPal,Weekly,4500,0.0,0,Low Value,98.04,98.04
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,1,1,31,PayPal,Annually,1568,0.0,0,Low Value,62.75,62.75
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,1,1,14,Venmo,Weekly,300,0.0,0,Low Value,29.41,29.41
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,1,1,49,Cash,Quarterly,4250,0.0,0,Low Value,98.04,98.04
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,1,1,19,Credit Card,Weekly,680,0.0,0,Low Value,39.22,39.22
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,1,1,8,Venmo,Annually,873,0.0,0,Low Value,17.65,17.65
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,1,1,4,Cash,Quarterly,155,0.0,1,Low Value,9.8,9.8
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,1,1,26,Bank Transfer,Bi-Weekly,918,0.0,1,Low Value,52.94,52.94
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,1,1,10,Bank Transfer,Fortnightly,748,0.0,1,Low Value,21.57,21.57
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,1,1,37,Venmo,Fortnightly,2736,0.0,1,Low Value,74.51,74.51
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,1,1,31,PayPal,Weekly,1632,0.0,1,Low Value,62.75,62.75
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,1,1,34,Debit Card,Weekly,1855,0.0,1,Low Value,68.63,68.63
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,1,1,8,PayPal,Monthly,729,0.0,0,Low Value,17.65,17.65
